sqm,bedrooms,bathrooms,receptions,lat,lng,crime_antiSocial,crime_theft,crime_burglary,crime_criminalDamage,crime_drugs,crime_weaponPossession,crime_publicOrder,crime_robbery,crime_vehicle,crime_other,num_pois,num_schools,avg_distance_all,min_distance_school,sold_year,sqm_per_bedroom,sqm_per_room,total_crime,total_rooms,city_average_price,price_per_sqm,city_avg_price_per_sqm,property_type_bungalow property,property_type_detached bungalow,property_type_detached house,property_type_end terrace house,property_type_flat,property_type_mid terrace bungalow,property_type_mid terrace house,property_type_semi-detached bungalow,property_type_semi-detached house,property_type_terrace property,tenure_feudal,tenure_freehold,tenure_leasehold,epc_rating_b,epc_rating_c,epc_rating_d,epc_rating_e,epc_rating_f,avg_price,target
161.0,3.0,3.0,2,51.38962,-0.27668,35.0,33.0,16.0,11.0,7.0,3.0,7.0,3.0,14.0,2.0,4,2,0.4792759177357358,0.0172499495135906,2025,53.666666666666664,20.125,188.0,8.0,483550.0,5354.037267080746,5807.796922488257,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,540883.8125,862000
150.0,4.0,1.0,2,51.38348,-0.25794,11.0,30.0,3.0,6.0,3.0,1.0,8.0,1.0,9.0,3.0,4,2,0.2712049904697193,0.0869906071231507,2025,37.5,21.428571428571427,116.0,7.0,742500.0,6400.0,6217.241379310344,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,547331.7538461538,960000
40.0,1.0,1.0,1,51.425,0.01322,71.0,54.0,7.0,19.0,21.0,3.0,18.0,8.0,49.0,4.0,4,2,0.4178246833414733,0.1147724973405312,2025,40.0,13.333333333333334,347.0,3.0,499375.0,6000.0,5613.274775700294,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,546187.52,240000
110.0,3.0,1.0,1,51.55277,0.10431,93.0,63.0,21.0,23.0,29.0,1.0,19.0,19.0,51.0,5.0,4,2,0.626421168706007,0.2927879546821562,2025,36.666666666666664,22.0,485.0,5.0,488333.3333333333,4681.818181818182,4109.3630186997525,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,544225.4382022471,515000
164.0,4.0,2.0,2,51.55368,0.09879,109.0,84.0,24.0,22.0,33.0,1.0,29.0,13.0,59.0,7.0,4,2,0.5983809563679362,0.3202587047579635,2025,41.0,20.5,569.0,8.0,488333.3333333333,4268.292682926829,4109.3630186997525,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,545956.2666666667,700000
127.0,3.0,2.0,2,51.55336,0.097,112.0,90.0,23.0,19.0,33.0,1.0,28.0,11.0,59.0,8.0,4,2,0.6078988994941417,0.3082762029746281,2025,42.333333333333336,18.142857142857142,570.0,7.0,488333.3333333333,5314.96062992126,4109.3630186997525,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,547374.3296703297,675000
76.0,2.0,1.0,1,51.43267,-0.37865,39.0,32.0,9.0,18.0,9.0,1.0,5.0,2.0,17.0,1.0,4,1,0.8056408242908291,0.38223420201026,2025,38.0,19.0,181.0,4.0,373500.0,5934.210526315789,5658.014354066985,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,546326.7826086957,451000
59.0,2.0,1.0,1,51.58659,-0.01766,171.0,191.0,45.0,51.0,59.0,7.0,34.0,23.0,87.0,10.0,4,1,0.2253524144868965,0.1619732133589835,2025,29.5,14.75,851.0,4.0,485000.0,8220.338983050848,8220.338983050848,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,545667.3548387097,485000
70.0,2.0,1.0,1,51.4070938,-0.0303183,45.0,46.0,20.0,10.0,10.0,2.0,12.0,3.0,38.0,3.0,4,1,0.3255607389843315,0.2777491538353515,2025,35.0,17.5,243.0,4.0,378500.0,4885.714285714285,6592.857142857143,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,607725.5172413794,342000
76.0,2.0,1.0,1,51.536,0.09242,121.0,111.0,27.0,26.0,33.0,3.0,24.0,29.0,42.0,7.0,4,1,0.3371322920317222,0.0629127817794082,2025,38.0,19.0,626.0,4.0,361666.6666666667,4473.684210526316,4336.950912275617,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,600850.0840336134,340000
71.0,2.0,1.0,1,51.54,0.15192,59.0,61.0,16.0,26.0,24.0,2.0,16.0,15.0,40.0,2.0,4,2,0.2691397805441223,0.0882795610882446,2025,35.5,17.75,378.0,4.0,412500.0,5070.422535211268,4488.992780210676,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,598843.0,360000
107.0,3.0,1.0,2,51.3605,-0.24306,15.0,7.0,11.0,7.0,5.0,1.0,4.0,1.0,9.0,1.0,4,1,0.5172673331229992,0.3855984688481766,2025,35.666666666666664,17.833333333333332,74.0,6.0,457000.0,5607.476635514019,4851.744081171884,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,598852.561983471,600000
76.0,2.0,1.0,1,51.36607,-0.27787,24.0,18.0,5.0,17.0,4.0,1.0,11.0,1.0,11.0,2.0,4,1,0.5866720350419177,0.3804106555217529,2025,38.0,19.0,143.0,4.0,457000.0,5065.789473684211,4851.744081171884,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,597099.6721311476,385000
87.0,3.0,1.0,1,51.34184,-0.27566,29.0,58.0,9.0,19.0,6.0,5.0,26.0,3.0,15.0,6.0,4,1,0.5229229749574982,0.178795775210272,2025,29.0,17.4,272.0,5.0,457000.0,4885.057471264367,4851.744081171884,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,595700.487804878,425000
72.0,2.0,1.0,1,51.3620568,-0.288094,21.0,15.0,6.0,20.0,6.0,2.0,13.0,1.0,7.0,2.0,4,2,0.2756467127087185,0.0235559877192197,2025,36.0,18.0,143.0,4.0,457000.0,4097.222222222223,4851.744081171884,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,593275.4838709678,295000
65.0,2.0,1.0,1,51.6958889,-0.1848935,13.0,63.0,11.0,9.0,1.0,1.0,12.0,1.0,10.0,3.0,4,1,0.5713450291966788,0.2520959710291895,2025,32.5,16.25,172.0,4.0,429975.0,4615.384615384615,5764.1737891737885,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,586428.695652174,300000
126.0,4.0,2.0,1,51.36782,-0.26677,15.0,12.0,4.0,9.0,4.0,1.0,8.0,1.0,7.0,1.0,4,1,0.5158574908456489,0.1246581020403344,2025,31.5,18.0,100.0,7.0,457000.0,4603.174603174603,4851.744081171884,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,586382.4460431655,580000
55.0,1.0,1.0,1,51.5582734,0.0711669,171.0,218.0,30.0,32.0,47.0,2.0,35.0,23.0,73.0,12.0,4,2,0.3458593413216814,0.1569163732924719,2025,55.0,18.333333333333332,873.0,3.0,488333.3333333333,4590.909090909091,4109.3630186997525,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,576102.4324324324,252500
71.0,2.0,2.0,1,52.00467295,-0.7381320710344832,20.0,45.0,10.0,11.0,7.0,1.0,21.0,4.0,15.0,9.0,4,1,0.1897025862836037,0.1806921187949872,2025,35.5,14.2,229.0,5.0,536250.0,6267.605633802817,5259.071997410578,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,572746.1437908497,445000
52.0,1.0,1.0,1,51.6444456,-0.1954883,63.0,52.0,12.0,5.0,13.0,2.0,7.0,3.0,27.0,5.0,4,1,0.4390678806721869,0.2349187665036188,2025,52.0,17.333333333333332,251.0,3.0,606322.7142857143,6538.461538461538,5803.2652286772845,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,570394.0880503145,340000
74.0,2.0,2.0,1,51.4442232,-0.410659,86.0,63.0,15.0,33.0,15.0,1.0,19.0,12.0,14.0,5.0,4,2,0.4379487098967032,0.0715249036501829,2025,37.0,14.8,371.0,5.0,400000.0,4391.891891891892,5439.558650402024,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,562250.9638554216,325000
106.0,3.0,2.0,1,51.52853,-0.47521,56.0,44.0,15.0,27.0,19.0,1.0,23.0,5.0,35.0,4.0,4,1,0.7908296696806276,0.3953983519993239,2025,35.333333333333336,17.666666666666668,365.0,6.0,391000.0,5047.169811320755,5268.502618471154,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,562087.7844311377,535000
51.0,1.0,1.0,1,51.39911,-0.0986059,97.0,79.0,24.0,41.0,31.0,4.0,43.0,19.0,50.0,10.0,4,2,0.6388250420730435,0.3776500841460868,2025,51.0,17.0,602.0,3.0,327666.6666666667,3882.3529411764707,3418.884872384708,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,557789.1764705882,198000
103.0,3.0,1.0,1,51.5216,-0.37455,137.0,126.0,26.0,41.0,22.0,3.0,22.0,14.0,83.0,13.0,4,2,0.766168535091006,0.1256844761716575,2025,34.333333333333336,20.6,662.0,5.0,662500.0,5339.805825242718,5899.069579288025,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,556710.2325581395,550000
84.0,3.0,1.0,2,51.5484099,-0.37787,41.0,47.0,35.0,26.0,6.0,1.0,16.0,9.0,32.0,1.0,4,2,0.4683723169984167,0.1735164051501729,2025,28.0,14.0,282.0,6.0,505000.0,5892.857142857143,5150.427018633541,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,556353.5260115607,495000
92.0,3.0,1.0,2,51.55027,-0.35125,47.0,51.0,29.0,21.0,5.0,2.0,13.0,11.0,24.0,1.0,4,1,0.4523029576367762,0.3011528385727352,2025,30.666666666666668,15.333333333333334,294.0,6.0,505000.0,5652.173913043478,5150.427018633541,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,556144.5977011494,520000
86.0,2.0,1.0,1,51.3937557,-0.3033105,60.0,40.0,13.0,18.0,7.0,2.0,6.0,2.0,13.0,4.0,4,2,0.4375439812992125,0.2574925972010956,2025,43.0,21.5,243.0,4.0,483550.0,1883.7209302325582,5807.796922488257,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,558682.7527472527,162000
78.0,2.0,2.0,1,51.3937557,-0.3033105,60.0,40.0,13.0,18.0,7.0,2.0,6.0,2.0,13.0,4.0,4,2,0.4730650207429238,0.1547316764594766,2025,39.0,15.6,243.0,5.0,483550.0,5128.205128205128,5807.796922488257,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,557815.6338797815,400000
68.0,1.0,2.0,1,51.47417,-0.3472,104.0,114.0,16.0,36.0,21.0,3.0,29.0,6.0,35.0,4.0,4,1,0.2759992296768124,0.0848578398092639,2025,68.0,17.0,559.0,4.0,513750.0,5404.411764705882,4931.935612082671,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,560553.2722772277,367500
70.0,2.0,1.0,1,51.49084,-0.31456,63.0,85.0,24.0,21.0,18.0,1.0,14.0,6.0,55.0,3.0,4,2,0.2736518954477725,0.0152784459382207,2025,35.0,17.5,364.0,4.0,451500.0,7357.142857142857,6531.512605042017,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,560328.8719211823,515000
148.0,3.0,2.0,1,51.64617,-0.15445,41.0,19.0,14.0,15.0,5.0,3.0,8.0,3.0,34.0,1.0,4,1,0.4059386781399751,0.2495954712976218,2025,49.333333333333336,24.666666666666668,176.0,6.0,606322.7142857143,6756.722972972973,5803.2652286772845,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,562484.0980392157,999995
102.0,3.0,1.0,2,51.64512,-0.21277,40.0,38.0,6.0,6.0,6.0,1.0,4.0,1.0,9.0,5.0,4,2,0.7870502915955196,0.2309705266804362,2025,34.0,17.0,168.0,6.0,606322.7142857143,5245.098039215686,5803.2652286772845,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,560787.2427184467,535000
